Болезнь,Описание
Реакция на лекарство,"Неблагоприятная лекарственная реакция (НЛР) – это травма, вызванная приемом лекарств. Нежелательные реакции могут возникать после однократного приема или длительного приема препарата, а также в результате комбинации двух или более препаратов."
Малярия,"Инфекционное заболевание, вызываемое простейшими паразитами семейства Plasmodium, которое может передаваться через укус комара Anopheles, через зараженную иглу или при переливании крови. Малярия Falciparum — самый смертоносный тип."
Аллергия,"Аллергия — это реакция иммунной системы на инородное вещество, которое обычно не вредно для вашего организма. К ним могут относиться определенные продукты, пыльца или перхоть домашних животных. Задача вашей иммунной системы — поддерживать ваше здоровье, борясь с вредными патогенами."
Гипотиреоз,"Гипотиреоз, также называемый пониженной активностью щитовидной железы или пониженной активностью щитовидной железы, представляет собой заболевание эндокринной системы, при котором щитовидная железа не производит достаточного количества гормонов щитовидной железы."
Псориаз,"Псориаз — распространенное заболевание кожи, при котором образуются толстые, красные, бугристые пятна, покрытые серебристыми чешуйками. Они могут появиться где угодно, но чаще всего появляются на коже головы, локтях, коленях и пояснице. Псориаз не передается от человека к человеку. Иногда это случается у членов одной семьи."
ГЭРБ,"Гастроэзофагеальная рефлюксная болезнь, или ГЭРБ, представляет собой расстройство пищеварения, поражающее нижний пищеводный сфинктер (НПС), мышечное кольцо между пищеводом и желудком. Многие люди, в том числе беременные женщины, страдают от изжоги или кислотного расстройства желудка, вызванного ГЭРБ."
Хронический холестаз,"Хронические холестатические заболевания, возникающие в младенчестве, детстве или взрослом возрасте, характеризуются нарушением транспорта желчных кислот из печени в кишечник, что в большинстве случаев обусловлено первичным повреждением эпителия желчных путей."
гепатит А,"Гепатит А – высококонтагиозная инфекция печени, вызываемая вирусом гепатита А. Вирус является одним из нескольких типов вирусов гепатита, которые вызывают воспаление и влияют на способность печени функционировать."
Остеоартрис,"Остеоартрит — наиболее распространенная форма артрита, от которой страдают миллионы людей во всем мире. Это происходит, когда защитный хрящ, смягчающий концы костей, со временем изнашивается."
(головокружение) Пароймсальное позиционное головокружение,"Доброкачественное пароксизмальное позиционное головокружение (ДППГ) является одной из наиболее частых причин головокружения — внезапного ощущения, что вы кружитесь или что у вас кружится внутренняя часть головы. Доброкачественное пароксизмальное позиционное головокружение вызывает короткие эпизоды головокружения от легкой до сильной степени."
Гипогликемия,"Гипогликемия — это состояние, при котором уровень сахара (глюкозы) в крови ниже нормы. Глюкоза является основным источником энергии вашего организма. Гипогликемия часто связана с лечением диабета. Но другие лекарства и ряд состояний (многие из которых редки) могут вызывать низкий уровень сахара в крови у людей, не страдающих диабетом."
Акне,"Обыкновенные угри — это образование комедонов, папул, пустул, узелков и/или кист в результате обструкции и воспаления волосяно-сальных единиц (волосяных фолликулов и сопровождающих их сальных желез). Прыщи развиваются на лице и верхней части туловища. Чаще всего поражает подростков."
Диабет,"Диабет — это заболевание, которое возникает, когда уровень глюкозы в крови, также называемый сахаром в крови, слишком высок. Глюкоза в крови является основным источником энергии и поступает из пищи, которую вы едите. Инсулин, гормон, вырабатываемый поджелудочной железой, помогает глюкозе из пищи проникать в клетки и использоваться для получения энергии."
Импетиго,"Импетиго (im-puh-TIE-go) — распространенная и очень заразная инфекция кожи, поражающая преимущественно младенцев и детей. Импетиго обычно проявляется в виде красных язв на лице, особенно вокруг носа и рта ребенка, а также на руках и ногах. Язвы лопаются и покрываются корками медового цвета."
Гипертония,"Гипертония (АГ или АГ), также известная как высокое кровяное давление (ГАД), представляет собой хроническое заболевание, при котором кровяное давление в артериях постоянно повышено. Высокое кровяное давление обычно не вызывает симптомов."
Язвенная болезнь желудка,"Язвенная болезнь (ЯБ) – это разрыв внутренней оболочки желудка, первой части тонкой кишки или иногда нижнего отдела пищевода. Язва в желудке называется язвой желудка, а в первом отделе кишечника — язвой двенадцатиперстной кишки."
Диморфный геморрой (сваи),"Геморрой, также называемый геморроем, представляет собой сосудистые структуры в анальном канале. В их... Другие названия: Геморрой, геморрой, геморрой."
Простуда,"Простуда — это вирусная инфекция носа и горла (верхних дыхательных путей). Обычно это безвредно, хотя может показаться, что это не так. Многие типы вирусов могут вызвать простуду."
Ветряная оспа,"Ветряная оспа – высококонтагиозное заболевание, вызываемое вирусом ветряной оспы (VZV). Это может вызвать зудящую сыпь, похожую на волдыри. Сыпь сначала появляется на груди, спине и лице, а затем распространяется по всему телу, вызывая от 250 до 500 зудящих волдырей."
Шейный спондилез,"Шейный спондилез — это общий термин, обозначающий возрастное изнашивание дисков позвоночника в шее. По мере обезвоживания и сжатия дисков развиваются признаки остеоартрита, в том числе костные выступы по краям костей (костные шпоры)."
Гипертиреоз,"Гипертиреоз (гиперактивная щитовидная железа) возникает, когда щитовидная железа вырабатывает слишком много гормона тироксина. Гипертиреоз может ускорить обмен веществ в организме, вызывая непреднамеренную потерю веса и учащенное или нерегулярное сердцебиение."
Инфекция мочевыводящих путей,"Инфекция мочевыводящих путей: инфекция почек, мочеточника, мочевого пузыря или уретры. Сокращенное ИМП. Не у всех больных ИМВП наблюдаются симптомы, но общие симптомы включают частые позывы к мочеиспусканию, а также боль или жжение при мочеиспускании."
Варикозное расширение вен,"Вена, которая увеличилась и изогнулась, часто выглядит как выпуклый синий кровеносный сосуд, который хорошо виден сквозь кожу. Варикозное расширение вен чаще всего встречается у пожилых людей, особенно у женщин, и особенно возникает на ногах."
СПИД,"Синдром приобретенного иммунодефицита (СПИД) — хроническое, потенциально опасное для жизни состояние, вызываемое вирусом иммунодефицита человека (ВИЧ). Повреждая иммунную систему, ВИЧ мешает способности вашего организма бороться с инфекциями и болезнями."
Паралич (кровоизлияние в мозг),"Внутримозговое кровоизлияние (ВМК) – это когда кровь внезапно прорывается в ткани головного мозга, вызывая повреждение головного мозга. Симптомы обычно появляются внезапно во время ВМК. Они включают головную боль, слабость, спутанность сознания и паралич, особенно на одной стороне тела."
тифозный,"Острое заболевание, характеризующееся лихорадкой, вызванной инфекцией бактерии Salmonella typhi. Брюшной тиф начинается незаметно и проявляется лихорадкой, головной болью, запором, недомоганием, ознобом и мышечными болями. Диарея возникает редко, а рвота обычно не является тяжелой."
Гепатит Б,"Гепатит B — это инфекция печени. Это может вызвать рубцевание органа, печеночную недостаточность и рак. Если не лечить, это может привести к летальному исходу. Он распространяется при контакте с кровью, открытыми язвами или биологическими жидкостями человека, зараженного вирусом гепатита В."
Грибковая инфекция,"У людей грибковые инфекции возникают, когда вторгшийся грибок захватывает определенную часть тела, и иммунная система не может справиться с ней. Грибы могут жить в воздухе, почве, воде и растениях. Есть также некоторые грибы, которые естественным образом живут в организме человека. Как и у многих микробов, существуют полезные и вредные грибы."
Гепатит С,"Воспаление печени, вызванное вирусом гепатита С (ВГС), который обычно передается при переливании крови (редко), гемодиализе и уколах иглой. Повреждение печени гепатитом С может привести к циррозу печени и его осложнениям, а также к раку."
Мигрень,"Мигрень может вызывать сильную пульсирующую боль или ощущение пульсации, обычно на одной стороне головы. Это часто сопровождается тошнотой, рвотой и крайней чувствительностью к свету и звуку. Приступы мигрени могут длиться от нескольких часов до нескольких дней, а боль может быть настолько сильной, что мешает вашей повседневной деятельности."
Бронхиальная астма,"Бронхиальная астма – это заболевание, при котором дыхательные пути легких отекают и сужаются. Из-за этого отека в дыхательных путях образуется избыток слизи, что затрудняет дыхание, что приводит к кашлю, одышке и хрипу. Заболевание носит хронический характер и мешает повседневной работе."
Алкогольный гепатит,"Алкогольный гепатит – это воспалительное заболевание печени, вызванное чрезмерным употреблением алкоголя в течение длительного периода времени. Это также усугубляется запоем и постоянным употреблением алкоголя. Если у вас развилось это заболевание, вы должны прекратить употребление алкоголя."
Желтуха,"Желтое окрашивание кожи и склер (белков глаз) из-за аномально высокого уровня в крови желчного пигмента билирубина. Пожелтение распространяется на другие ткани и жидкости организма. Когда-то желтуху называли «morbus regius» (царственной болезнью), поскольку считалось, что только прикосновение короля может ее вылечить."
Гепатит Е,"Редкая форма воспаления печени, вызванная заражением вирусом гепатита Е (ВГЕ). Он передается через пищу или напитки, с которыми контактировал инфицированный человек, или через зараженные источники воды в местах, где в воду могут попасть фекалии. Гепатит Е не вызывает хронического заболевания печени."
Денге,"острое инфекционное заболевание, вызываемое флавивирусом (вид вируса Денге рода Flavivirus), передающееся комарами вида Aedes и характеризующееся головной болью, сильными болями в суставах и сыпью. — также называемая переломной лихорадкой, лихорадкой денге."
Гепатит Д,"Гепатит D, также известный как вирус гепатита дельта, представляет собой инфекцию, вызывающую воспаление печени. Этот отек может ухудшить функцию печени и вызвать долгосрочные проблемы с печенью, включая рубцевание печени и рак. Заболевание вызывает вирус гепатита D (HDV)."
Острое сердечно-сосудистое заболевание,"Гибель сердечной мышцы из-за потери кровоснабжения. Нарушение кровоснабжения обычно вызвано полной закупоркой коронарной артерии, одной из артерий, снабжающих кровью сердечную мышцу."
Пневмония,"Пневмония – это инфекция одного или обоих легких. Его вызывают бактерии, вирусы и грибки. Инфекция вызывает воспаление в воздушных мешочках легких, которые называются альвеолами. Альвеолы ​​заполняются жидкостью или гноем, что затрудняет дыхание."
Артрит,"Артрит — это отек и болезненность одного или нескольких суставов. Основными симптомами артрита являются боль и скованность суставов, которые обычно усиливаются с возрастом. Наиболее распространенными типами артрита являются остеоартрит и ревматоидный артрит."
Гастроэнтерит,"Гастроэнтерит – это воспаление пищеварительного тракта, особенно желудка, а также толстого и тонкого кишечника. Вирусный и бактериальный гастроэнтерит — это кишечные инфекции, сопровождающиеся симптомами диареи, спазмов в животе, тошноты и рвоты."
Туберкулез,"Туберкулез (ТБ) – инфекционное заболевание, обычно вызываемое бактериями Mycobacterium Tuberculosis (MTB). Туберкулез обычно поражает легкие, но может поражать и другие части тела. Большинство инфекций не имеют симптомов, и в этом случае они известны как латентный туберкулез."
